open,high,low,close,adjusted_close,volume,dividend_amount
129.58,131.9,123.71,124.79,87.815,36964774,0.0
140.38,145.45,127.96,129.1,90.8479,50928336,0.0
148.5,149.07,138.78,140.85,99.1164,27703434,0.0
151.71,154.36,147.87,149.03,104.8727,18943237,0.0
151.1,153.35,148.36,151.21,106.4068,22847744,0.0
148.44,152.6,147.47,151.35,106.5053,37327961,0.0
146.6,149.3,145.25,148.33,104.3801,20298346,0.0
145.98,147.66,144.81,145.45,102.3535,15394651,0.0
146.94,147.93,145.25,146.48,103.0783,15929583,0.0
146.37,147.16,144.75,146.04,102.7687,12992907,0.0
144.15,146.39,142.0,146.06,102.7827,17890077,0.0
146.95,147.64,143.88,144.48,101.6709,17100909,1.57
144.8,147.92,142.33,147.7,102.8217,24366161,0.0
146.35,149.27,144.66,145.15,101.0465,19940363,0.0
145.67,150.54,142.74,146.35,101.8819,36572622,0.0
142.59,146.98,142.47,145.9,101.5687,17395351,0.0
138.28,142.94,138.2,142.48,99.1878,12024030,0.0
140.4,141.36,137.45,139.7,97.2525,25451478,0.0
144.18,144.52,140.78,141.28,98.3524,21004666,0.0
146.62,147.52,143.7,145.39,101.2136,21311072,0.0
142.3,146.7,142.18,146.14,101.7357,18618365,0.0
142.53,143.1,140.21,141.95,98.8188,20343954,0.0
144.95,146.2,142.95,143.64,99.9953,16951460,0.0
144.47,145.19,142.92,144.08,100.3017,16304020,0.0
144.0,144.85,141.28,144.14,100.3434,20021856,1.57
146.86,147.38,139.9,143.91,99.0924,23464605,0.0
145.03,147.36,144.11,146.48,100.862,25028049,0.0
157.99,162.0,144.51,144.9,99.7741,51127683,0.0
151.8,159.22,151.74,156.71,107.9061,21372171,0.0
153.34,154.92,147.45,150.57,103.6783,20949699,0.0
151.21,154.87,150.28,153.43,105.6476,14934365,0.0
159.71,159.89,148.54,148.89,102.5215,21959274,0.0
159.64,162.11,157.74,160.26,110.3505,25076217,0.0
154.12,159.58,153.75,159.31,109.6964,22842811,0.0
155.81,159.78,151.88,154.49,106.3775,18831762,0.0
155.79,156.79,152.79,155.52,107.0867,14987102,0.0
150.9,157.79,149.64,156.18,107.5412,25701914,0.0
157.89,158.5,144.4,149.51,102.9484,38856237,1.5
167.45,168.39,158.87,159.03,108.4019,21842492,0.0
161.51,168.72,161.11,167.34,114.0663,28170112,0.0
165.1,171.13,161.3,162.37,110.6786,51246304,0.0
162.66,164.94,161.7,163.14,111.2034,22376145,0.0
154.5,162.9,153.54,162.49,110.7604,26160206,0.0
152.51,154.72,152.5,153.42,104.5779,10573732,0.0
153.41,154.18,151.49,152.5,103.9507,20045931,0.0
154.97,157.85,152.03,152.5,103.9507,31101402,0.0
155.67,156.8,153.26,154.81,105.5253,20236835,0.0
152.06,155.02,151.62,154.76,105.4913,24386604,0.0
150.64,152.45,149.9,151.84,103.5009,13728716,0.0
148.88,150.15,146.211,148.97,101.5445,23731918,0.0
151.77,151.82,149.14,149.16,101.6741,21891991,1.5
153.76,154.93,151.49,151.58,102.3027,19467703,0.0
162.05,162.51,152.911,153.68,103.72,28529638,0.0
147.22,162.48,146.18,162.07,109.3824,56148944,0.0
146.5,148.95,146.35,147.1,99.2791,16128636,0.0
145.35,147.54,145.21,146.48,98.8606,12252293,0.0
145.12,147.42,144.21,145.08,97.9157,18131168,0.0
144.81,145.8911,144.22,145.13,97.9495,16890140,0.0
143.54,146.38,143.01,144.82,97.7403,24882951,0.0
143.5,144.64,141.64,142.45,96.1407,13803467,0.0
144.11,144.56,141.9,144.08,97.2408,17765494,0.0
139.59,144.19,139.13,143.74,97.0114,15927109,0.0
142.0,143.34,139.58,139.7,94.2847,18585485,0.0
145.0,145.09,141.19,141.84,95.729,18161288,1.5
144.38,145.67,144.17,145.16,96.9464,16503121,0.0
147.0,147.49,143.64,144.29,96.3654,21206630,0.0
153.59,154.29,146.51,147.08,98.2287,39223438,0.0
152.91,154.615,152.05,154.24,103.0106,15015697,0.0
153.58,156.025,152.14,152.94,102.1424,11462576,0.0
154.71,155.75,153.14,153.83,102.7368,13465670,0.0
155.51,155.86,153.39,154.11,102.9238,18294998,0.0
154.19,157.2,152.94,155.38,103.772,23761609,0.0
151.82,154.265,150.8,154.1,102.9171,20653101,0.0
151.95,153.2,151.59,152.05,101.548,13583558,0.0
152.1,153.73,151.23,152.49,101.8419,14563625,0.0
150.62,154.14,150.11,151.98,101.5012,23606431,0.0
152.8,153.47,149.79,150.37,100.426,28432713,1.5
160.05,160.42,153.0,155.05,102.5464,28746997,0.0
161.29,162.04,159.63,160.29,106.012,22585454,0.0
169.75,171.69,159.6,160.38,106.0716,41444548,0.0
172.53,172.56,168.98,169.53,112.1231,15162492,0.0
173.82,176.33,171.28,172.14,113.8493,20657952,0.0
172.69,175.0,172.0937,174.14,115.1721,15949938,0.0
175.65,176.23,172.8,173.83,114.9671,16816026,0.0
177.85,179.0,174.75,175.65,116.1708,20678038,0.0
179.72,181.29,175.88,177.83,117.6126,18283618,0.0
181.19,182.55,179.28,180.05,119.0808,14713309,0.0
180.6,182.5,179.12,181.35,119.9406,13082284,0.0
179.24,182.79,178.35,180.67,119.4909,15587334,0.0
175.31,178.8701,174.38,178.68,118.1747,15458288,1.4
176.98,177.07,172.89,175.82,115.3664,16952754,0.0
170.08,179.25,170.01,177.3,116.3375,24898161,0.0
166.69,170.64,165.8,170.55,111.9084,26891514,0.0
169.47,169.8,165.34,167.34,109.8021,16710843,0.0
167.0,169.92,166.01,169.53,111.2391,11943248,0.0
166.98,167.98,165.5,165.99,108.9163,7770697,0.0
166.83,168.25,165.25,166.71,109.3888,13209502,0.0
166.72,169.952,165.07,166.73,109.4019,23953742,0.0
160.85,166.72,158.93,166.52,109.2641,17154330,0.0
163.2,164.66,158.3,160.02,104.999,19370850,0.0
160.69,163.19,160.3697,163.14,107.0463,11269212,0.0
161.25,161.86,157.55,160.39,105.2418,16168917,0.0
153.99,161.34,151.0,161.27,105.8192,25292112,1.4
152.76,154.33,151.67,152.43,99.1244,15168515,0.0
150.4,154.44,149.83,152.61,99.2415,16009359,0.0
154.45,155.89,147.79,149.63,97.3036,31731091,0.0
156.71,158.49,152.27,154.45,100.438,15614452,0.0
158.06,158.53,154.86,155.67,101.2314,11417766,0.0
154.46,165.0,153.46,158.85,103.2993,15801644,0.0
154.87,157.22,153.87,154.98,100.7827,12476162,0.0
155.26,158.53,153.21,153.84,100.0414,21990587,0.0
159.88,161.76,155.65,155.69,101.2444,15009419,0.0
158.83,160.57,158.1,159.55,103.7545,11286596,0.0
160.0,161.34,157.85,158.32,102.9547,13571765,0.0
162.4,162.97,159.52,160.04,104.0732,14873739,0.0
162.73,164.95,161.52,161.95,105.3152,19554950,1.4
160.65,163.51,159.8,163.5,105.4125,15067283,0.0
162.0,163.6,160.03,160.62,103.5556,13747991,0.0
159.3,162.17,157.89,162.07,104.4905,24775973,0.0
154.6,161.4,154.5,159.78,103.0141,18535456,0.0
151.19,154.6,149.92,154.46,99.5841,10213227,0.0
146.18,152.97,142.5,152.35,98.2238,19155814,0.0
152.6,155.48,146.18,146.59,94.5102,22214411,0.0
151.63,152.72,149.0,151.99,97.9917,15849580,0.0
153.09,154.09,151.86,152.37,98.2367,14920842,0.0
152.56,153.81,151.54,152.89,98.5719,13470239,0.0
147.61,152.93,146.66,152.84,98.5397,14910875,0.0
147.65,149.99,143.955,147.25,94.9357,16406443,0.0
147.7,151.09,147.01,147.72,95.2387,17034303,0.0
146.56,147.97,142.9,147.29,94.9615,21059912,1.4
148.16,150.78,144.191,145.94,93.2052,16956550,0.0
151.75,153.14,142.61,148.5,94.8401,37688644,0.0
