OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
12925,YEM,Yemen,Al Adan,Al Adan; Akthab; Shehan; Hisn Izzan,1156.606943607330095,-9999.000000000000000,-9999.000000000000000,0.036809574373941,0.000083173638336
12926,YEM,Yemen,Al Misrakh,Al Misrakh,238603.889937639120035,-9999.000000000000000,-9999.000000000000000,0.470172412152169,0.005643463839497
12927,YEM,Yemen,Milkan,Milkan; Qaryat al Atraf; Hawair; Dhi Sharan; `Unub; Hard; Ar Rakani; Hard; Qaryat al Jarajir; Qurat; Al Miqab; Adh Dhahb; Az Zuhar; Dhunbah; Dhi Hawashi; Sanid; Mariyah; Al Hujfah; Haban; Ash Sharqi; As Siyari; Qaryat Marwahah; Ash Sharif; Ad Duqayqah; Al,8547.845342636104760,-9999.000000000000000,-9999.000000000000000,0.147231915178251,0.000914867404050
12928,YEM,Yemen,Dawran AlJadeedah,Dawran AlJadeedah,2904.246948242185681,-9999.000000000000000,-9999.000000000000000,0.036887441399707,0.000083454715364
12929,YEM,Yemen,Ath Thuja`,Ath Thuja`; Ubad; Jahisah; Al Qayyahah; Shi`b Humran; Shari` Sami`; An Nujayd; Al Habilayn; Shabah wa Thawrayn; Shi'b al Maha'ibah; Hudhiyah; Barah; Al `Aridah; Qaryat al Midhabah; Al Qatab; As Salf; Al Khanaf; Dhi Qatish; Al Kharaib; Al Qurf; Al Midhar;,27283.931301832159079,-9999.000000000000000,-9999.000000000000000,0.236938150658428,0.002239602790439
12930,YEM,Yemen,As Samkar,As Samkar; Mulayh; Shi`b al Khadim; Al Maqashirah; Qaryat al `Afif; As Sadrah; AlKabba; Yakhtul; Habil Daf`an; Mule; Al `Ar; As Sayrah; Al `Arakim; Kharabat al Israr; Ar Ritnanah; Jubba'; Al Qurf; Shi`b ar Rayhan; Al Lijm; `Udaymah; Al Qurayn,23423.425712347008812,-9999.000000000000000,-9999.000000000000000,0.159696180849070,0.000913373920298
12931,YEM,Yemen,Ibb,Ibb,213160.988719940098235,-9999.000000000000000,-9999.000000000000000,0.216977011932068,0.001746257786084
12932,YEM,Yemen,Jibla,Jibla,18669.672315597523266,-9999.000000000000000,-9999.000000000000000,0.090077028045725,0.000415695230682
12933,YEM,Yemen,Al Qa`idah,Al Qa`idah,57900.242652893080958,-9999.000000000000000,-9999.000000000000000,0.143293611199666,0.000913941217947
12934,YEM,Yemen,Al Milhi,Al Milhi; Suwa; Manzil at Talh; Al Jabbanah; Ar Rikkah; An Nazhah; Al Mikhali; Al Manqudah; Al As hum; Al Kharabat Bani Shamsan; Al Mafraq; Shanin; Ar Rijad; Ash Sharaf; Ad Dimdam; Al Humari; Al Kawlah; Saniah; Qaryat ad Dar; Al Mahrath; Az Zirari; Malil;,19750.168087005604320,-9999.000000000000000,-9999.000000000000000,0.090117497269842,0.000499202431157
