CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access,IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Costa Rica,2125787.08621418,865635.9624152177,0.4072072730279075,Life expectancy at birth (years),Costa Rica,SEX_FMLE,81.50602722
Croatia,893860.5868231641,777248.7400766625,0.8695413485441311,Age-standardized prevalence of obesity among adults (18+ years) (%),Croatia,SEX_BTSX,30.61657906
Croatia,893860.5868231641,777248.7400766625,0.8695413485441311,Life expectancy at birth (years),Croatia,SEX_FMLE,80.01118469
Croatia,893860.5868231641,777248.7400766625,0.8695413485441311,Life expectancy at birth (years),Croatia,SEX_BTSX,76.86167908
Croatia,893860.5868231641,777248.7400766625,0.8695413485441311,Life expectancy at birth (years),Croatia,SEX_MLE,73.77732086
Cuba,3089380.3495119787,1771273.596859925,0.5733426760287799,Age-standardized prevalence of obesity among adults (18+ years) (%),Cuba,SEX_BTSX,21.76092911
Cuba,3089380.3495119787,1771273.596859925,0.5733426760287799,Life expectancy at birth (years),Cuba,SEX_BTSX,73.67333221
Cuba,3089380.3495119787,1771273.596859925,0.5733426760287799,Life expectancy at birth (years),Cuba,SEX_FMLE,76.50608826
Cuba,3089380.3495119787,1771273.596859925,0.5733426760287799,Life expectancy at birth (years),Cuba,SEX_MLE,71.12595367
Cyprus,432495.7386559997,204058.7906003741,0.471816881328117,Age-standardized prevalence of obesity among adults (18+ years) (%),Cyprus,SEX_BTSX,22.93652916
Cyprus,432495.7386559997,204058.7906003741,0.471816881328117,Life expectancy at birth (years),Cyprus,SEX_MLE,79.8661499
Cyprus,432495.7386559997,204058.7906003741,0.471816881328117,Life expectancy at birth (years),Cyprus,SEX_FMLE,83.96356964
Cyprus,432495.7386559997,204058.7906003741,0.471816881328117,Life expectancy at birth (years),Cyprus,SEX_BTSX,81.91274261
Côte d'Ivoire,7307194.904384989,4232175.7815964585,0.5791792660486945,Age-standardized prevalence of obesity among adults (18+ years) (%),Côte d'Ivoire,SEX_BTSX,11.6430397
Côte d'Ivoire,7307194.904384989,4232175.7815964585,0.5791792660486945,Life expectancy at birth (years),Côte d'Ivoire,SEX_FMLE,65.98000336
Côte d'Ivoire,7307194.904384989,4232175.7815964585,0.5791792660486945,Life expectancy at birth (years),Côte d'Ivoire,SEX_MLE,61.3910408
Côte d'Ivoire,7307194.904384989,4232175.7815964585,0.5791792660486945,Life expectancy at birth (years),Côte d'Ivoire,SEX_BTSX,63.51740646
Democratic Republic of the Congo,15623765.33950466,-894991.6512131689,-0.0572839921596994,Age-standardized prevalence of obesity among adults (18+ years) (%),Democratic Republic of the Congo,SEX_BTSX,6.640550137
Democratic Republic of the Congo,15623765.33950466,-894991.6512131689,-0.0572839921596994,Life expectancy at birth (years),Democratic Republic of the Congo,SEX_BTSX,61.62552643
Democratic Republic of the Congo,15623765.33950466,-894991.6512131689,-0.0572839921596994,Life expectancy at birth (years),Democratic Republic of the Congo,SEX_MLE,59.42621613
Democratic Republic of the Congo,15623765.33950466,-894991.6512131689,-0.0572839921596994,Life expectancy at birth (years),Democratic Republic of the Congo,SEX_FMLE,63.91177368
Denmark,1744332.576098397,1617109.1333078505,0.9270646867840358,Age-standardized prevalence of obesity among adults (18+ years) (%),Denmark,SEX_BTSX,13.27851009
Denmark,1744332.576098397,1617109.1333078505,0.9270646867840358,Life expectancy at birth (years),Denmark,SEX_BTSX,81.18400574
Denmark,1744332.576098397,1617109.1333078505,0.9270646867840358,Life expectancy at birth (years),Denmark,SEX_MLE,79.46414185
Denmark,1744332.576098397,1617109.1333078505,0.9270646867840358,Life expectancy at birth (years),Denmark,SEX_FMLE,82.90091705
Djibouti,253394.2020149826,-8706.878852844235,-0.0343610026733343,Age-standardized prevalence of obesity among adults (18+ years) (%),Djibouti,SEX_BTSX,11.34677982
Djibouti,253394.2020149826,-8706.878852844235,-0.0343610026733343,Life expectancy at birth (years),Djibouti,SEX_MLE,63.04217911
Djibouti,253394.2020149826,-8706.878852844235,-0.0343610026733343,Life expectancy at birth (years),Djibouti,SEX_BTSX,64.87226868
Djibouti,253394.2020149826,-8706.878852844235,-0.0343610026733343,Life expectancy at birth (years),Djibouti,SEX_FMLE,66.72945404
Dominican Republic,5803317.067259475,745580.5202140802,0.1284748897178849,Age-standardized prevalence of obesity among adults (18+ years) (%),Dominican Republic,SEX_BTSX,29.34004974
Dominican Republic,5803317.067259475,745580.5202140802,0.1284748897178849,Life expectancy at birth (years),Dominican Republic,SEX_FMLE,76.75536346
Dominican Republic,5803317.067259475,745580.5202140802,0.1284748897178849,Life expectancy at birth (years),Dominican Republic,SEX_MLE,70.16326904
Dominican Republic,5803317.067259475,745580.5202140802,0.1284748897178849,Life expectancy at birth (years),Dominican Republic,SEX_BTSX,73.32102966
Ecuador,6675696.987323298,2681903.5985679524,0.4017413617874969,Age-standardized prevalence of obesity among adults (18+ years) (%),Ecuador,SEX_BTSX,27.37854958
Ecuador,6675696.987323298,2681903.5985679524,0.4017413617874969,Life expectancy at birth (years),Ecuador,SEX_FMLE,77.20480347
Ecuador,6675696.987323298,2681903.5985679524,0.4017413617874969,Life expectancy at birth (years),Ecuador,SEX_BTSX,73.95801544
Ecuador,6675696.987323298,2681903.5985679524,0.4017413617874969,Life expectancy at birth (years),Ecuador,SEX_MLE,70.95068359
Egypt,59834039.87187399,7435582.9201807985,0.1242701134020539,Age-standardized prevalence of obesity among adults (18+ years) (%),Egypt,SEX_BTSX,44.27019882
Egypt,59834039.87187399,7435582.9201807985,0.1242701134020539,Life expectancy at birth (years),Egypt,SEX_BTSX,69.10821533
Egypt,59834039.87187399,7435582.9201807985,0.1242701134020539,Life expectancy at birth (years),Egypt,SEX_FMLE,71.70874023
Egypt,59834039.87187399,7435582.9201807985,0.1242701134020539,Life expectancy at birth (years),Egypt,SEX_MLE,66.68998718
El Salvador,2092145.3004641675,211037.98027515417,0.1008715695933417,Age-standardized prevalence of obesity among adults (18+ years) (%),El Salvador,SEX_BTSX,30.88002968
El Salvador,2092145.3004641675,211037.98027515417,0.1008715695933417,Life expectancy at birth (years),El Salvador,SEX_FMLE,76.24875641
El Salvador,2092145.3004641675,211037.98027515417,0.1008715695933417,Life expectancy at birth (years),El Salvador,SEX_MLE,66.76773071
El Salvador,2092145.3004641675,211037.98027515417,0.1008715695933417,Life expectancy at birth (years),El Salvador,SEX_BTSX,71.66703796
